HashFunction,Average,Count,Minimum,Maximum,percentile_Average_0,percentile_Average_1,percentile_Average_25,percentile_Average_50,percentile_Average_75,percentile_Average_99,percentile_Average_100
539,522,288,205.0,2182.0,205,209,223,233,795,2136,2182
540,706,29,31.0,1469.0,465,465,554,672,864,1266,1266
541,259,1,259.0,259.0,259,259,259,259,259,259,259
542,138,1445,0.0,1473.0,0,0,1,1,3,1032,1473
543,619,288,426.0,1060.0,426,439,490,542,758,1031,1060
544,499,1,499.0,499.0,499,499,499,499,499,499,499
545,1167,1438,4.0,16728.0,4,5,13,226,1658,10555,16728
546,15,1289,2.0,1021.0,3,4,6,8,9,292,345
547,7103,39,35.0,25366.0,35,35,274,1129,15742,23872,23872
548,6962,43,1238.0,13517.0,1238,1238,4718,5906,8933,13517,13517
549,2678,4,389.0,3580.0,389,389,389,3235,3544,3544,3544
550,62,288,26.0,2060.0,26,27,38,53,60,323,2060
551,554,288,101.0,5940.0,101,110,139,189,781,4598,5940
552,155,5772,0.0,5419.0,0,10,23,34,52,2350,5053
553,471,8593,77.0,11636.0,91,103,123,132,149,7474,11636
554,124,289,31.0,2078.0,31,31,49,62,79,1689,2078
555,126,1440,1.0,1487.0,1,1,1,1,2,1015,1487
556,152,155,13.0,1945.0,21,21,39,118,187,417,417
557,129,246,0.0,1408.0,0,0,1,1,9,1000,1408
558,129,60,31.0,406.0,31,31,54,78,230,406,406
559,89,1440,15.0,2542.0,15,31,34,65,124,265,2542
560,834,1437,22.0,7264.0,22,32,74,768,1262,3047,7264
561,9,2316,6.0,137.0,7,7,8,8,10,35,137
562,24908,29646,78.0,551368.0,93,231,317,559,47705,264656,550460
563,59,83,1.0,1188.0,1,1,2,2,4,1188,1188
564,236,1435,3.0,2020.0,3,3,5,10,108,1707,2020
565,77,1439,14.0,1746.0,14,31,51,64,93,209,1746
566,1003,151,174.0,27237.0,174,189,359,536,828,7550,27237
567,1626,288,343.0,22688.0,343,359,466,1277,1687,8032,22688
568,904,288,89.0,4243.0,89,96,211,876,1201,3661,4243
569,11,289,0.0,609.0,0,0,0,0,0,281,609
570,321,288,187.0,8407.0,187,187,218,296,343,562,8407
571,0,360,0.0,0.0,0,0,0,0,0,0,0
572,1557,1554,31.0,11487.0,41,46,85,117,359,9364,9364
573,188,1589,0.0,88794.0,0,0,15,16,30,450,44428
574,420,288,46.0,1722.0,46,62,254,406,555,1126,1722
575,3906,18,46.0,9165.0,46,46,109,5056,5793,9165,9165
576,195,288,1.0,1472.0,1,1,2,9,64,1321,1472
577,145,480,4.0,3339.0,4,5,10,10,11,1624,3339
578,679,2880,249.0,2453.0,249,312,437,500,684,1579,2453
579,522,6585,46.0,27858.0,166,229,312,333,368,1355,27858
580,3215,150,1718.0,8953.0,1718,1828,2234,2484,3258,8344,8953
581,237,2863,93.0,100683.0,93,104,124,140,171,597,50564
582,310,142,6.0,3310.0,9,9,103,167,386,2724,3310
583,4,170,1.0,61.0,1,1,1,2,4,37,37
584,17,3464,6.0,5213.0,6,7,9,12,16,64,5213
585,19830,1775,62.0,225448.0,62,337,4308,14315,26438,108863,217853
586,206,334,31.0,5369.0,31,62,119,160,205,821,5369
587,291653,276,290237.0,298960.0,290237,290614,291156,291462,291836,297616,298960
588,1454,480,187.0,62954.0,187,198,356,921,1885,5709,62954
589,5295,288,1239.0,10505.0,1239,1296,3127,5219,7370,9721,10505
590,514,66,7.0,8541.0,22,22,70,109,299,5514,5514
591,457,14778,6.0,221214.0,6,10,18,25,48,7372,91321
592,0,288,0.0,31.0,0,0,0,0,0,19,31
593,27553,4844,99.0,611351.0,102,301,9947,16766,27920,248833,543077
594,897,8611,120.0,14484.0,127,143,260,578,1343,3263,6141
595,412,1440,203.0,2617.0,203,234,312,375,453,1203,2617
596,187,51,78.0,531.0,119,119,147,165,257,307,307
597,1363,1,1363.0,1363.0,1363,1363,1363,1363,1363,1363,1363
598,16,296,0.0,150.0,0,0,12,15,18,38,46
599,1115,105,194.0,5508.0,197,263,755,755,975,5227,5227
600,1746,1,1746.0,1746.0,1746,1746,1746,1746,1746,1746,1746
601,11,720,0.0,140.0,0,0,0,15,15,32,140
602,258,1440,0.0,34748.0,0,0,0,15,31,12344,34748
603,493,288,107.0,5922.0,107,109,140,187,251,5002,5922
604,170,289,1.0,1393.0,1,1,3,4,30,1187,1393
605,94,612,15.0,2426.0,24,26,44,53,66,801,1691
606,1347,11,118.0,9682.0,125,125,167,233,1579,9682,9682
607,670,68,234.0,5032.0,234,234,281,343,406,2714,2714
608,2422,480,1439.0,18253.0,1439,1484,1757,1841,2079,13881,18253
609,1837,510,139.0,22157.0,264,271,531,1114,1986,12717,22157
610,50,50,31.0,124.0,31,31,46,46,46,124,124
611,10,1440,0.0,77.0,0,0,0,12,17,32,77
612,327,66,0.0,1530.0,11,11,85,293,359,1406,1406
613,85,3614,0.0,35793.0,0,7,15,17,23,216,35793
614,75,2880,31.0,2069.0,31,42,62,62,78,183,1376
615,465,720,90.0,4611.0,90,122,194,270,418,3041,4611
616,539,1321,21.0,5519.0,21,37,48,90,883,3048,5519
617,27,1704,4.0,2716.0,4,7,16,21,25,70,2716
618,3700,40564,13.0,153716.0,52,242,1228,2309,4018,33787,153716
619,7,288,0.0,78.0,0,0,0,0,15,66,78
620,2009,991,213.0,541929.0,213,595,782,903,973,3070,541929
621,17,927,1.0,232.0,1,1,10,13,16,108,140
622,70,288,10.0,798.0,10,10,18,32,68,649,798
623,1824,288,595.0,8407.0,595,609,1109,1393,2023,7407,8407
624,171,192,31.0,4767.0,31,32,112,140,159,687,4767
625,24,3410,4.0,451.0,9,17,21,23,26,42,237
626,4824,1056,328.0,196017.0,750,1134,2526,3430,5037,18227,196017
627,2679,9428,15.0,79557.0,46,72,255,671,2018,29845,76608
628,123,480,46.0,370.0,46,62,94,110,140,272,370
629,73,3218,0.0,37710.0,0,0,15,30,34,1243,37710
630,1120,11,56.0,11540.0,56,56,57,66,98,11540,11540
631,37,364,15.0,144.0,15,16,28,33,42,116,144
632,770,288,18.0,3943.0,18,19,49,787,1075,3502,3943
633,1023,628,54.0,9503.0,54,64,128,695,1690,4899,9503
634,21466,3,17559.0,25463.0,17559,17559,17559,21377,25463,25463,25463
635,982,4,240.0,1958.0,240,240,240,577,1156,1958,1958
636,94,82,0.0,1176.0,0,0,8,23,48,1176,1176
637,765,1350,0.0,29288.0,0,20,155,298,553,8632,29280
638,2,172,0.0,8.0,0,0,1,1,3,7,8
639,30471,133,6.0,183794.0,6,7,14,35,79480,147247,147247
640,23,1440,0.0,4189.0,0,0,15,15,20,114,4189
641,818,288,64.0,5496.0,64,74,109,261,1614,3525,5496
642,486,287,34.0,5246.0,34,36,49,60,844,3378,5246
643,71,1440,27.0,1057.0,27,28,32,34,36,971,1057
644,1065,2687,640.0,5477.0,950,950,998,1019,1049,1650,2891
645,291,405,22.0,1130.0,22,66,186,298,350,549,549
646,443,369,18.0,4941.0,18,18,35,272,467,4259,4941
647,245,480,93.0,5305.0,93,93,124,125,233,2062,5305
648,369,119072,75.0,7033.0,115,125,247,269,304,2636,4589
649,4,17268,0.0,5153.0,0,0,0,2,3,38,1621
650,2,287,0.0,246.0,0,0,0,0,0,36,246
651,7315,30,549.0,51329.0,549,549,704,796,984,51329,51329
652,920,204,272.0,51553.0,272,281,359,406,468,1038,51553
653,45,288,0.0,776.0,0,0,0,15,18,539,776
654,622,2205,14.0,10569.0,14,23,470,594,767,1408,10569
655,13,45,1.0,64.0,3,3,4,6,18,39,39
656,13,122,0.0,187.0,0,0,0,0,15,109,187
657,1851,19,624.0,3119.0,1505,1505,1505,1950,1950,2713,2713
658,4739,26,2401.0,14750.0,2839,2839,2865,3150,7045,8882,8882
659,57,17256,2.0,4273.0,2,3,4,5,9,547,1126
660,18,1120,0.0,218.0,0,0,9,15,19,109,218
661,3,288,0.0,221.0,0,0,0,0,0,66,221
662,503,54,125.0,2054.0,125,125,222,294,539,2054,2054
663,0,717,0.0,0.0,0,0,0,0,0,0,0
664,3424,288,92.0,37119.0,92,108,190,269,522,26162,37119
665,214,288,3.0,1959.0,3,3,4,4,10,1958,1959
666,28957,286,2547.0,158394.0,2547,2567,7376,28772,41015,147728,158394
667,316,144,18.0,3663.0,18,19,20,25,359,2238,3663
668,384,7513,128.0,95330.0,148,155,169,178,193,1148,95330
669,304,1,304.0,304.0,304,304,304,304,304,304,304
670,178,288,0.0,1364.0,0,0,1,7,46,1003,1364
671,15,114,2.0,150.0,2,2,6,11,20,103,103
672,215,956,6.0,6198.0,7,7,10,13,159,5047,6198
673,33,1440,0.0,1470.0,0,0,0,0,1,969,1470
674,42104,37,78.0,171464.0,312,312,10437,22997,62758,171464,171464
675,15,3285,3.0,2124.0,3,7,10,11,12,65,2124
676,6187,98,0.0,300041.0,0,0,0,19,66,300041,300041
677,5445,27,3280.0,6687.0,3280,3280,4166,5912,6180,6687,6687
678,286,4,77.0,577.0,77,77,77,94,398,577,577
679,10813,288,7493.0,18039.0,7493,7530,9824,10623,11676,16403,18039
680,5069,3059,235.0,29954.0,235,1789,2344,3177,5695,20569,20591
681,392,290,186.0,2213.0,186,207,233,245,271,2069,2213
682,825,1131,22.0,5076.0,22,24,74,588,1385,3022,5076
683,48,1800,3.0,5309.0,3,15,21,31,38,150,5309
