HashFunction,Average,Count,Minimum,Maximum,percentile_Average_0,percentile_Average_1,percentile_Average_25,percentile_Average_50,percentile_Average_75,percentile_Average_99,percentile_Average_100
813,33,288,0.0,299.0,0,0,17,31,34,201,299
814,7,1450,0.0,142.0,0,0,0,0,15,93,142
815,6,288,0.0,31.0,0,0,0,0,15,18,31
816,0,260,0.0,0.0,0,0,0,0,0,0,0
817,167,365,12.0,3471.0,15,15,62,109,171,1219,1671
818,1069,1,1069.0,1069.0,1069,1069,1069,1069,1069,1069,1069
819,9958,85,2222.0,23446.0,2222,2222,8159,10134,11578,23446,23446
820,46,288,0.0,407.0,0,4,15,31,62,219,407
821,127,12176,0.0,1562.0,0,40,90,116,149,329,1400
822,319,60,26.0,3964.0,110,110,160,210,250,1998,1998
823,115,1669,15.0,2320.0,15,31,46,78,142,484,2320
824,255,288,7.0,1609.0,7,7,11,14,271,1179,1609
825,15,1440,0.0,410.0,0,0,0,15,18,62,330
826,4578,256,384.0,15004.0,656,656,1415,2534,7271,14255,14255
827,31349,1437,736.0,120917.0,736,908,29478,30375,33444,42206,120917
828,547,22,213.0,1532.0,213,213,253,280,384,1532,1532
829,105,8640,0.0,2014.0,0,0,0,0,240,805,1134
830,2,288,0.0,33.0,0,0,0,0,0,31,33
831,7,2016,0.0,62.0,0,0,0,7,15,19,59
832,85,1440,1.0,1215.0,1,1,1,4,6,977,1215
833,32362,68,11360.0,59715.0,22149,22149,22149,22149,31674,56587,56587
834,113,1440,62.0,7060.0,62,62,78,78,78,1167,7060
835,297,328,62.0,5922.0,77,78,126,172,222,5712,5922
836,792,1440,23.0,4606.0,23,35,75,697,1081,3013,4606
837,509,480,140.0,7216.0,140,171,271,360,527,3080,7216
838,457,288,33.0,8037.0,33,39,66,88,667,3969,8037
839,376,67,13.0,1493.0,14,14,32,109,763,1493,1493
840,663,2,624.0,703.0,624,624,624,624,703,703,703
841,73874,464,0.0,300717.0,15,31,200,63191,100800,300320,300717
842,5237,466,2414.0,256103.0,2414,2549,2936,3295,3680,45918,256103
843,4127,1435,785.0,57620.0,785,859,1583,2282,3605,11620,57620
844,632,6490,46.0,22071.0,79,242,377,464,632,2157,21351
845,88,9088,19.0,4844.0,20,26,36,44,73,646,4844
846,175,240,62.0,688.0,62,62,127,162,189,484,688
847,98,30,1.0,1329.0,1,1,1,1,1,1329,1329
848,3,1440,0.0,898.0,0,0,0,0,0,17,898
849,495,1440,301.0,15383.0,301,312,382,421,494,1750,15383
850,26,720,0.0,218.0,0,15,15,15,19,171,218
851,246,288,30.0,2866.0,30,33,61,73,92,1782,2866
852,10031,2717,9992.0,12446.0,9993,10000,10012,10019,10029,10355,12446
853,345,5209,15.0,112148.0,31,45,112,130,156,734,38590
854,108,480,31.0,328.0,31,46,78,98,124,312,328
855,225,2402,32.0,7796.0,32,39,53,66,87,3649,4997
856,2113,54,15.0,17615.0,15,15,921,1725,2626,7041,7041
857,270,128,59.0,950.0,59,61,96,152,438,523,853
858,649,2880,546.0,4534.0,546,562,578,609,671,1046,4534
859,798,237,39.0,5027.0,39,40,116,737,1085,2479,5027
860,262990,329,258316.0,273914.0,258316,258651,260794,262781,264831,270729,273914
861,58,13388,26.0,9281.0,31,34,41,47,58,197,1758
862,15220,1707,7357.0,127816.0,11734,12553,13301,13571,14058,45120,118913
863,645,720,2.0,10970.0,2,3,12,28,1011,3897,10970
864,13909,24909,85.0,98198.0,172,1089,6177,11772,19971,46563,83641
865,201,144,18.0,1405.0,18,19,23,30,66,1313,1405
866,44,9366,15.0,19035.0,17,22,30,36,42,163,19035
867,2257,288,723.0,8791.0,723,730,869,1614,3492,7181,8791
868,5628,287,1132.0,17298.0,1132,1231,3398,5384,7557,11402,17298
